tweet_id,user_id,nickname,username,create_time,create_date_time,retweetedTweet_id,quotedTweet_id,replyedTweet_id,at_user_id,at_nickname,at_username,at_index
1994431192565768248,1660722451414654977,Core Francisco Park @ NeurIPS2025,corefpark,1764344425,2025-11-28 15:40:25+00:00,,,1994424921834074302,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994431192565768248,1660722451414654977,Core Francisco Park @ NeurIPS2025,corefpark,1764344425,2025-11-28 15:40:25+00:00,,,1994424921834074302,1013971684624424960,ICLR 2026,iclr_conf,2
1994431192565768248,1660722451414654977,Core Francisco Park @ NeurIPS2025,corefpark,1764344425,2025-11-28 15:40:25+00:00,,,1994424921834074302,7183392,Amir Rustamzadeh,openreview,3
1994438532581241120,3227419952,Sayan,sayan_iitkgp,1764346175,2025-11-28 16:09:35+00:00,,,1994424921834074302,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994438532581241120,3227419952,Sayan,sayan_iitkgp,1764346175,2025-11-28 16:09:35+00:00,,,1994424921834074302,1013971684624424960,ICLR 2026,iclr_conf,2
1994438532581241120,3227419952,Sayan,sayan_iitkgp,1764346175,2025-11-28 16:09:35+00:00,,,1994424921834074302,7183392,Amir Rustamzadeh,openreview,3
1994613779586502864,1914255008075296768,Today in AI,todayinai_,1764387957,2025-11-29 03:45:57+00:00,,,1994424921834074302,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994613779586502864,1914255008075296768,Today in AI,todayinai_,1764387957,2025-11-29 03:45:57+00:00,,,1994424921834074302,1013971684624424960,ICLR 2026,iclr_conf,2
1994613779586502864,1914255008075296768,Today in AI,todayinai_,1764387957,2025-11-29 03:45:57+00:00,,,1994424921834074302,7183392,Amir Rustamzadeh,openreview,3
1994754400183525841,330547480,Aleksandr,AleMacLeo,1764421484,2025-11-29 13:04:44+00:00,,,1994424921834074302,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994754400183525841,330547480,Aleksandr,AleMacLeo,1764421484,2025-11-29 13:04:44+00:00,,,1994424921834074302,1013971684624424960,ICLR 2026,iclr_conf,2
1994754400183525841,330547480,Aleksandr,AleMacLeo,1764421484,2025-11-29 13:04:44+00:00,,,1994424921834074302,7183392,Amir Rustamzadeh,openreview,3
1994508483732049922,940311804563087360,Amir Y,ayzddzya,1764362853,2025-11-28 20:47:33+00:00,,,1994178570545959062,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994191619122172146,1851387600545988608,yang yang,yangyang1056945,1764287306,2025-11-27 23:48:26+00:00,,,1994178570545959062,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994188446710046903,280692527,haihuang,haihuang_ml,1764286550,2025-11-27 23:35:50+00:00,,,1994178570545959062,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994323259349770339,1598922395213266944,pr4jeet 🐾,pr4jeetk,1764318692,2025-11-28 08:31:32+00:00,,,1994178570545959062,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994312647093965058,1911605163724259328,Samra (Sam),Sam14_irshad,1764316162,2025-11-28 07:49:22+00:00,,,1994178570545959062,2850858010,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,1
1994452616424591462,62044012,Michael Bronstein,mmbronstein,1764349533,2025-11-28 17:05:33+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994452616424591462,62044012,Michael Bronstein,mmbronstein,1764349533,2025-11-28 17:05:33+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994427112187727913,1020920111476236288,Haggai Maron,HaggaiMaron,1764343452,2025-11-28 15:24:12+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994427112187727913,1020920111476236288,Haggai Maron,HaggaiMaron,1764343452,2025-11-28 15:24:12+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994427112187727913,1020920111476236288,Haggai Maron,HaggaiMaron,1764343452,2025-11-28 15:24:12+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,3
1994519429653373392,1728790010059513856,Razvan Ciuca,Raz_Ciuca,1764365463,2025-11-28 21:31:03+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994519429653373392,1728790010059513856,Razvan Ciuca,Raz_Ciuca,1764365463,2025-11-28 21:31:03+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994454425105039858,747435209209970689,Pedro Sandoval,psandovalsegura,1764349964,2025-11-28 17:12:44+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994454425105039858,747435209209970689,Pedro Sandoval,psandovalsegura,1764349964,2025-11-28 17:12:44+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994540797665116365,4235719700,Marwin Segler,marwinsegler,1764370557,2025-11-28 22:55:57+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994540797665116365,4235719700,Marwin Segler,marwinsegler,1764370557,2025-11-28 22:55:57+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994454722745344128,1599408121159507973,JunkThoughts,thoughts_junk,1764350035,2025-11-28 17:13:55+00:00,,,1994426310161056233,1097489155620245504,Christopher Morris,chrsmrrs,1
1994454722745344128,1599408121159507973,JunkThoughts,thoughts_junk,1764350035,2025-11-28 17:13:55+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,2
1994454722745344128,1599408121159507973,JunkThoughts,thoughts_junk,1764350035,2025-11-28 17:13:55+00:00,,,1994426310161056233,1013971684624424960,ICLR 2026,iclr_conf,3
1994965452070817923,1739091493334499328,松江腊雪,Atoloretta,1764471803,2025-11-30 03:03:23+00:00,,,1994951862177730734,1621387926876868608,meowshark,colored_dye,1
1994726501208776948,1281265455735296001,atharva ☆,k7agar,1764414832,2025-11-29 11:13:52+00:00,,,1994485268209176728,1288542460831043585,Yunyi Shen/申云逸 🐺,ShenRaphael,1
1994564560557412681,1587981954464419840,Benhao Huang,huskydogewoof,1764376223,2025-11-29 00:30:23+00:00,,,1994485268209176728,1288542460831043585,Yunyi Shen/申云逸 🐺,ShenRaphael,1
