repost_id,create_time,create_date_time,retweeted_note_id,content,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,at_count,user_id,nickname,gender,profile_url,avatar,desc,follows,fans,statuses_count
5237916949021142,1764328978,2025-11-28 11:22:58+08:00,5237758266442267,转发微博,0,0,0,1773636861603,https://m.weibo.cn/detail/5237916949021142,北京,0,3636978933,在原野上走出的山同学,男,https://m.weibo.cn/u/3636978933?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.180/d8c7e4f5ly8h8vhzsh3zzj20sg0sgac6.jpg?KID=imgbed,tva&Expires=1773647661&ssig=IGiWVNXqD%2F",何为自苦，使我心悲,415,80,4510
5237915399488779,1764328609,2025-11-28 11:16:49+08:00,5237758266442267,国内科研狗很有意思，一方面吐槽学术内卷，学术圈不值得，审稿系统那些mean到发指的意见又大多是国人给的，印度阿三在我们面前都良心了许多。。//@国自然陪跑健将:文人相轻，被拒的论文只会认为审稿人是出于狭隘的目的。。比如武汉理工的郑老师给80条审稿意见后打低分，在系统出bug被全网曝光后光速提...全文,0,1,0,1773636861609,https://m.weibo.cn/detail/5237915399488779,福建,1,2884729002,国自然陪跑健将,男,https://m.weibo.cn/u/2884729002?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.418.418.180/abf178aaly8iay0it79yjj20bm0bmt8w.jpg?KID=imgbed,tva&Expires=1773647661&ssig=ifa3p1cnOS",,464,279,1564
5237910607496520,1764327467,2025-11-28 10:57:47+08:00,5237758266442267,转发,2,0,1,1773636861623,https://m.weibo.cn/detail/5237910607496520,上海,0,1165692665,西海岸的风Econ,男,https://m.weibo.cn/u/1165692665?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.52.0.192.192.180/457b0ef9ly1g0m6b5x7w4j208905cq3z.jpg?KID=imgbed,tva&Expires=1773647661&ssig=E9%2BZHvLMf8",,96,1.1万,988
5237896221033097,1764324036,2025-11-28 10:00:36+08:00,5237758266442267,非常搞笑，匿名评审制度的遮羞布被掀开，让大家狠狠观摩了一个晚上,0,0,1,1773636861629,https://m.weibo.cn/detail/5237896221033097,加拿大,0,6052259217,芒果柚子和青提,女,https://m.weibo.cn/u/6052259217?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.404.404.180/006BAF69ly8hx42og625hj30b80b8mx5.jpg?KID=imgbed,tva&Expires=1773647661&ssig=DQ0vHARyge",我真的需要一只猫,312,72,293
5237888507710318,1764322198,2025-11-28 09:29:58+08:00,5237758266442267,很open,0,0,0,1773636861633,https://m.weibo.cn/detail/5237888507710318,北京,0,1830516311,龙星镖局,男,https://m.weibo.cn/u/1830516311?launchid=10000360-page_H5,"https://tva4.sinaimg.cn/crop.101.0.209.209.180/6d1b7657gw1egydt9et5qj20a405u74v.jpg?KID=imgbed,tva&Expires=1773647661&ssig=Z316Zc%2Bfdr",,374,14万,19420
5237885370108544,1764321450,2025-11-28 09:17:30+08:00,5237758266442267,Bug的根源： 接口权限失控 - 后端API未对身份查询请求进行权限校验，允许通过简单修改URL参数直接获取敏感信息。 数据过度暴露 - 接口返回了完整的用户隐私数据（姓名、邮箱、履历、导师关系等），远超匿名评审所需。,1,0,1,1773636869163,https://m.weibo.cn/detail/5237885370108544,北京,0,1912273717,程序员邹欣,男,https://m.weibo.cn/u/1912273717?launchid=10000360-page_H5,"https://tva4.sinaimg.cn/crop.0.0.180.180.180/71fafb35jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1773647669&ssig=ZygqywgSrW",程序员,1684,41.1万,132959
5237882974375243,1764320879,2025-11-28 09:07:59+08:00,5237758266442267,文人相轻，被拒的论文只会认为审稿人是出于狭隘的目的。。比如武汉理工的郑老师给80条审稿意见后打低分，在系统出bug被全网曝光后光速提分。。友情提醒，老美不禁枪，小心会议现场沦为真人cs,3,1,1,1773636869169,https://m.weibo.cn/detail/5237882974375243,福建,0,2884729002,国自然陪跑健将,男,https://m.weibo.cn/u/2884729002?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.418.418.180/abf178aaly8iay0it79yjj20bm0bmt8w.jpg?KID=imgbed,tva&Expires=1773647669&ssig=iilvvCLYoh",,464,279,1564
5237880688740447,1764320334,2025-11-28 08:58:54+08:00,5237758266442267,添乱不是？,0,0,0,1773636869174,https://m.weibo.cn/detail/5237880688740447,北京,0,1169193955,北京牙医苏建宏,男,https://m.weibo.cn/u/1169193955?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/45b07be3ly8hlj60s836uj20u00u0q88.jpg?KID=imgbed,tva&Expires=1773647669&ssig=9rMs%2F%2BvPK%2F",一位专业私人牙医，一位父亲，北京启典口腔， 北大口腔修复硕士， 北医大本科，主美学瓷贴面、种植牙，私信，评论咨询不回复，问您主治医师,3406,25.9万,51157
5237875727664955,1764319151,2025-11-28 08:39:11+08:00,5237758266442267,,0,0,0,1773636869177,https://m.weibo.cn/detail/5237875727664955,河北,0,6327562379,散步的梦2025,女,https://m.weibo.cn/u/6327562379?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.720.720.180/006UdO1Jly8hy49s7jpo6j30k00k0gn2.jpg?KID=imgbed,tva&Expires=1773647669&ssig=3sJhSKWNW2",🇨🇳马甲线雕塑中～ 目前战绩：间歇跑配速4.8～ 腰围1尺9 🇨🇳 www.12339.gov.cn 生命科学圈。业余爱好：国家旅游局注册英文导游&amp;民族舞,1173,266,6247
5237867774739590,1764317255,2025-11-28 08:07:35+08:00,5237758266442267,转发微博,0,0,0,1773636869180,https://m.weibo.cn/detail/5237867774739590,上海,0,7629829666,幂律长尾_再生,男,https://m.weibo.cn/u/7629829666?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/008klZeOly8gwn6f3bg7nj30ro0rotb1.jpg?KID=imgbed,tva&Expires=1773647669&ssig=kQKsmLgvE6",,526,81,28364
