source_agent,target_agent,direction
6444741184,2209059857,bidirectional
6444741184,3164138154,bidirectional
6444741184,3860595207,bidirectional
6444741184,5316461624,bidirectional
6444741184,5845368028,bidirectional
6444741184,5974492728,bidirectional
6444741184,7629829666,bidirectional
6444741184,7778686786,bidirectional
6462784518,7733872683,bidirectional
6470348556,1648544895,bidirectional
6470348556,1668589577,bidirectional
6470348556,1846972357,bidirectional
6470348556,1860293712,bidirectional
6470348556,5242689177,bidirectional
6470348556,6462784518,bidirectional
6470348556,7037879187,bidirectional
6470348556,7071325949,bidirectional
6470348556,7181375425,bidirectional
6470348556,7337714168,bidirectional
6470348556,7494836996,bidirectional
6470348556,7888868912,bidirectional
7037879187,1005724414,bidirectional
7337714168,6470348556,bidirectional
7576177455,7912396743,bidirectional
7733872683,6462784518,bidirectional
7737769880,7888868912,bidirectional
7778686786,2143895791,bidirectional
7793479333,1240212845,bidirectional
7888868912,5242689177,bidirectional
7888868912,6470348556,bidirectional
7888868912,6537673609,bidirectional
7888868912,7889671371,bidirectional
7912396743,1307254057,bidirectional
7912396743,7071325949,bidirectional
7912396743,7576177455,bidirectional
